"Region Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
CAL,"12/8/2019 12 a.m. EST",31161,30822,18002,-9259
CAL,"12/8/2019 1 a.m. EST",30090,29734,17070,-9292
CAL,"12/8/2019 2 a.m. EST",28507,28140,16239,-9075
CAL,"12/8/2019 3 a.m. EST",26933,26440,15293,-8689
CAL,"12/8/2019 4 a.m. EST",25731,25094,14305,-8493
CAL,"12/8/2019 5 a.m. EST",24712,24098,13421,-8469
CAL,"12/8/2019 6 a.m. EST",24012,23478,13226,-8568
CAL,"12/8/2019 7 a.m. EST",23547,23109,13149,-8276
CAL,"12/8/2019 8 a.m. EST",23492,23155,13210,-8093
CAL,"12/8/2019 9 a.m. EST",23952,23745,13187,-8216
CAL,"12/8/2019 10 a.m. EST",24625,24595,13628,-8767
CAL,"12/8/2019 11 a.m. EST",25332,25339,14557,-8570
CAL,"12/8/2019 12 p.m. EST",25738,25904,15789,-8099
CAL,"12/8/2019 1 p.m. EST",26157,26264,15813,-7800
CAL,"12/8/2019 2 p.m. EST",26301,26284,16522,-7756
CAL,"12/8/2019 3 p.m. EST",26179,26108,16667,-6780
CAL,"12/8/2019 4 p.m. EST",26127,26035,16986,-6700
CAL,"12/8/2019 5 p.m. EST",26413,26197,17682,-6819
CAL,"12/8/2019 6 p.m. EST",26721,26541,16541,-7162
CAL,"12/8/2019 7 p.m. EST",27592,27285,15798,-7753
CAL,"12/8/2019 8 p.m. EST",29704,29240,17291,-9226
CAL,"12/8/2019 9 p.m. EST",32640,31929,18266,-10132
CAL,"12/8/2019 10 p.m. EST",32902,32316,18507,-10070
CAL,"12/8/2019 11 p.m. EST",32544,31968,17917,-10275
CAL,"12/9/2019 12 a.m. EST",31853,31272,17615,-10274
CAL,"12/9/2019 1 a.m. EST",30492,30069,17443,-9508
CAL,"12/9/2019 2 a.m. EST",28324,28243,16344,-8402
CAL,"12/9/2019 3 a.m. EST",26278,26317,15152,-7969
CAL,"12/9/2019 4 a.m. EST",25268,24515,14728,-7719
CAL,"12/9/2019 5 a.m. EST",24452,23691,14349,-7610
CAL,"12/9/2019 6 a.m. EST",24033,23172,14430,-7415
